position,artist,title,streams,peak,days,total_streams,rank_date
175,Gracie Abrams,"I Love You, I'm Sorry",1.209.853,15,378,721718437,2025-11-13
176,Empire Of The Sun,We Are The People,1.209.429,89,130,175754867,2025-11-13
177,Eminem,Mockingbird,1.209.111,20,735,1183250989,2025-11-13
178,Lady Gaga,Poker Face,1.205.574,24,286,389706862,2025-11-13
179,Twenty One Pilots,Stressed Out,1.205.081,5,912,919013838,2025-11-13
180,Coolio,Gangsta's Paradise(w/L.V.),1.204.702,11,708,748547522,2025-11-13
181,4 Non Blondes,What's Up?,1.204.041,159,9,10875947,2025-11-13
182,ROSALÃA,De MadrugÃ¡,1.203.605,27,6,8926404,2025-11-13
183,One Direction,Night Changes,1.201.861,6,1228,1529400559,2025-11-13
184,a,ha-Take on Me,1.193.754,36,595,795117181,2025-11-13
185,Grupo Menos Ã Mais,P do Pecado - Ao Vivo(w/Simone Mendes),1.192.225,32,123,180849849,2025-11-13
186,The Kid LAROI,NIGHTS LIKE THIS,1.190.107,34,410,683040494,2025-11-13
187,ROSALÃA,Mio Cristo Piange Diamanti,1.188.232,23,6,9377890,2025-11-13
188,Arctic Monkeys,Do I Wanna Know?,1.183.594,69,1378,1151852331,2025-11-13
189,Fuerza Regida,COQUETA(w/Grupo Frontera),1.180.463,77,194,264348276,2025-11-13
190,Rihanna,We Found Love(w/Calvin Harris),1.179.894,18,745,879401215,2025-11-13
191,Harry Styles,Sign of the Times,1.178.550,13,300,311617599,2025-11-13
192,The Neighbourhood,Softcore,1.177.944,31,335,388285755,2025-11-13
193,AC/DC,Thunderstruck,1.177.312,133,72,87563344,2025-11-13
194,Sabrina Carpenter,Please Please Please,1.174.757,1,468,1582066315,2025-11-13
195,Taylor Swift,CANCELLED!,1.174.469,5,41,143158159,2025-11-13
196,Charlie Puth,We Don't Talk Anymore(w/Selena Gomez),1.173.105,9,771,732558290,2025-11-13
197,Joji,SLOW DANCING IN THE DARK,1.171.240,82,277,210728582,2025-11-13
198,Ariana Grande,Into You,1.167.807,12,353,390218233,2025-11-13
199,Sabrina Carpenter,Taste,1.167.294,2,405,1226718708,2025-11-13
200,The Weeknd,The Hills,1.166.422,3,1303,1214540434,2025-11-13
